UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Alberto Fernández,@alferdez,2021-09-17T16:14:54.000Z,"Alberto Fernández
@alferdez
·
Sep 17Nuestro país aumentó su ambición climática y comprometió la neutralidad de carbono hacia 2050 en medio de un endeudamiento insostenible con el FMI.

Para cumplir con estos objetivos y enfrentar la crisis es central que se eliminen las sobretasas y se extiendan los plazos de pago.
216
182
1K",216,182,1K
Alberto Fernández,@alferdez,2021-09-17T16:14:54.000Z,"Alberto Fernández
@alferdez
·
Sep 17Es imprescindible que la transición climática y energética sea justa y no agigante las brechas de bienestar en nuestro planeta.
246
165
1K",246,165,1K
Alberto Fernández,@alferdez,2021-09-15T19:22:15.000Z,"Alberto Fernández
@alferdez
·
Sep 15La ley prevé 20 años de estabilidad fiscal para quienes invierten y garantiza la sustentabilidad ambiental.

El Estado, las provincias, los empresarios y trabajadores nos unimos en este proyecto, más allá de toda diferencia. Solo así seguiremos poniendo a la Argentina de pie.
Martín Guzmán and 7 others
415
247
1K",415,247,1K
Alberto Fernández Retweeted,@CasaRosada,2021-09-15T15:29:13.000Z,"Casa Rosada
@CasaRosada
·
Sep 15EN VIVO | El presidente Alberto Fernández presenta el proyecto de Ley de Promoción de Inversiones Hidrocarburíferas
Casa Rosada
@CasaRosada
El presidente Alberto Fernández presenta el proyecto de Ley de Promoción de Inversiones Hidrocarburíferas
387
345
901",387,345,901
Alberto Fernández,@alferdez,2021-09-14T21:47:30.000Z,"Alberto Fernández
@alferdez
·
Sep 14El Equipo Argentino de Antropología Forense y la Cruz Roja identificaron los restos de cuatro excombatientes nuestros caídos en Malvinas. 
Mi abrazo emocionado, 39 años después, a sus familiares. 

Gloria a quienes murieron por la Patria.
1.8K
2.1K
14.4K",1.8K,2.1K,14.4K
Alberto Fernández Retweeted,@OrnellaInfante,2021-09-14T14:56:48.000Z,"Ornella Infante
@OrnellaInfante
·
Sep 14Mi solidaridad con 
@leogarciapop
 Me pongo a disposición desde 
@inadi
 Los discursos del odio y sus representaciones convergen en prácticas violentas. El presidente 
@alferdez
 desde el inicio de su mandato mostró nuestra vocación a la paz social, el diálogo y la vida democrática
120
114
533",120,114,533
Alberto Fernández Retweeted,@CasaRosada,2021-09-14T20:26:30.000Z,"Casa Rosada
@CasaRosada
·
Sep 14“Lo que hicimos mal lo corregiremos, lo que no hicimos lo haremos” aseguró el presidente 
@alferdez
, en Almirante Brown, al poner en marcha 25 obras públicas en 14 provincias https://casarosada.gob.ar/slider-principal/48078-el-presidente-aseguro-en-almirante-brown-que-lo-que-hicimos-mal-lo-corregiremos-lo-que-no-hicimos-lo-haremos…
590
310
1K",590,310,1K
Alberto Fernández,@alferdez,2021-09-14T20:27:47.000Z,"Alberto Fernández
@alferdez
·
Sep 14Dimos inicio a 25 obras públicas e inauguramos las mejoras de la av. República Argentina en Almirante Brown.

Una señora me dijo que nunca pensó que la calle de su casa estaría asfaltada, iluminada y que llegarían los colectivos. Hoy brindamos mejores condiciones de vida.
747
579
2.2K",747,579,2.2K
Alberto Fernández,@alferdez,2021-09-14T20:27:49.000Z,"Alberto Fernández
@alferdez
·
Sep 14Esta obra, como las 2530 en marcha, se hizo en pandemia y motorizó el trabajo y la industria.

No hemos esperado para corregir los errores y hacer lo que aún no hemos hecho. Tenemos la oportunidad de darle una vida mejor al pueblo argentino y seguimos trabajando para que así sea.
Gabriel Katopodis and 3 others
230
178
651",230,178,651
Alberto Fernández,@alferdez,2021-09-14T20:11:00.000Z,"Alberto Fernández
@alferdez
·
Sep 14En mi visita a la fábrica de envases Ball, recibí la noticia de que la empresa invertirá US$ 60 millones en el país y generará más trabajo.

Argentina merece que los empresarios radiquen su capital y que el empleo crezca. Así se retroalimenta la economía y la sociedad vive mejor.
Victoria Tolosa Paz and 2 others
879
761
3.3K",879,761,3.3K
